Jun 25, 2026  10:34:19 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Jun 25, 2026  10:34:19 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

338.250,   6.2688E-008,   3.4825E-006,   8.9603E-012,   1.8317E-011,   1.8160E-011,   2.8509E-009,   1.4173E-009,   1.0112E-012,   4.6549E-012,   7.5281E-012,  
344.297,   6.1921E-008,   3.5149E-006,   3.0543E-011,   1.9177E-011,   1.8872E-011,   3.0506E-009,   1.3117E-009,   4.9849E-013,   4.6433E-012,  -2.8982E-013,  
350.359,   6.2431E-008,   3.5135E-006,   3.0416E-011,   1.9649E-011,   1.8992E-011,   2.8338E-009,   1.7687E-009,   4.2447E-013,   4.3526E-012,   6.4536E-012,  
356.344,   6.2713E-008,   3.4857E-006,   8.1952E-012,   1.8464E-011,   1.7899E-011,   2.8654E-009,   1.5474E-009,   6.7238E-013,   4.0601E-012,   6.2601E-012,  
362.375,   6.3229E-008,   3.4950E-006,   8.0159E-012,   1.8869E-011,   1.7998E-011,   2.8889E-009,   1.3911E-009,   3.6829E-013,   7.2597E-012,   8.6946E-013,  
368.422,   6.1632E-008,   3.4912E-006,   3.0510E-011,   1.8939E-011,   1.8045E-011,   3.1256E-009,   1.5113E-009,   5.5913E-013,   6.9735E-012,   6.2057E-012,  
374.453,   5.7622E-008,   3.4805E-006,   3.1659E-011,   1.9609E-011,   1.7607E-011,   2.9313E-009,   1.6947E-009,   2.0095E-011,   1.9538E-011,   3.7111E-011,  
380.547,   6.1331E-008,   3.4710E-006,   3.1731E-011,   1.8541E-011,   1.8129E-011,   3.0696E-009,   1.5140E-009,   2.5237E-013,   4.8823E-012,   6.4759E-012,  
386.547,   6.1017E-008,   3.4705E-006,   3.1227E-011,   1.8206E-011,   1.8356E-011,   3.1111E-009,   1.4047E-009,   5.3594E-013,   4.4498E-012,   7.5192E-012,  
392.594,   6.1759E-008,   3.4936E-006,   3.1874E-011,   1.8164E-011,   1.8599E-011,   2.9169E-009,   1.4210E-009,   4.1020E-013,   4.2920E-012,   5.6840E-012,  
