Jul 29, 2026  10:22:26 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Jul 29, 2026  10:22:26 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

198.890,   5.0639E-008,   2.5127E-006,   9.2956E-012,   2.0913E-011,   2.1579E-011,   3.4101E-009,   1.6287E-009,   6.1352E-013,   7.6646E-012,   5.2702E-013,  
204.953,   4.9182E-008,   2.4977E-006,   3.3731E-011,   2.1180E-011,   2.1270E-011,   3.2249E-009,   1.4752E-009,  -1.2841E-013,   7.4149E-012,   7.4639E-013,  
210.953,   4.6263E-008,   2.5026E-006,   7.7306E-012,   2.0888E-011,   2.1685E-011,   3.4327E-009,   1.5447E-009,   6.1798E-013,   6.3412E-012,   9.6309E-013,  
217.000,   4.7582E-008,   2.4910E-006,   6.6123E-012,   2.1460E-011,   2.1197E-011,   3.4354E-009,   1.4544E-009,   4.2180E-013,   6.2788E-012,   5.8766E-013,  
223.047,   5.0272E-008,   2.4947E-006,   6.4126E-012,   2.1844E-011,   2.1925E-011,   3.3785E-009,   1.8537E-009,   1.2752E-013,   7.4434E-012,   4.4142E-013,  
229.078,   4.9286E-008,   2.5141E-006,   3.2021E-011,   2.0551E-011,   2.1845E-011,   3.3577E-009,   1.4580E-009,   3.1211E-014,   7.8135E-012,   5.2346E-013,  
235.125,   4.9362E-008,   2.4942E-006,   1.1570E-011,   2.0812E-011,   2.1505E-011,   3.1147E-009,   1.5646E-009,   8.9353E-013,   8.6330E-012,   9.4793E-013,  
241.187,   4.7242E-008,   2.4908E-006,   3.2904E-011,   2.0983E-011,   2.1630E-011,   3.0714E-009,   1.5113E-009,   4.1912E-013,   6.9788E-012,   5.0741E-013,  
247.234,   4.9490E-008,   2.4964E-006,   3.2828E-011,   2.0335E-011,   2.1909E-011,   3.4896E-009,   1.6314E-009,   5.2524E-013,   7.8019E-012,   7.5085E-013,  
253.297,   4.7290E-008,   2.4957E-006,   8.5242E-012,   2.0912E-011,   2.2091E-011,   3.6170E-009,   1.4752E-009,   2.6128E-013,   7.0190E-012,   5.1276E-013,  
259.359,   4.7780E-008,   2.5062E-006,   7.6218E-012,   2.0952E-011,   2.0979E-011,   3.3162E-009,   1.7191E-009,   2.8536E-013,   7.1269E-012,   8.4181E-013,  
265.422,   4.5320E-008,   2.4947E-006,   7.3783E-012,   2.0980E-011,   2.2162E-011,   3.0416E-009,   1.8374E-009,   3.6829E-013,   6.4607E-012,   7.2143E-013,  
271.437,   4.9258E-008,   2.4849E-006,   3.1775E-011,   2.1484E-011,   2.1521E-011,   3.2864E-009,   1.4219E-009,   5.5288E-013,   7.6476E-012,   6.1442E-013,  
277.484,   4.9257E-008,   2.5025E-006,   3.4354E-011,   2.1706E-011,   2.0501E-011,   3.4128E-009,   1.5248E-009,   5.2257E-013,   6.9173E-012,   7.7226E-013,  
283.515,   4.4854E-008,   2.4829E-006,   3.1739E-011,   2.6211E-011,   2.1760E-011,   3.2313E-009,   1.5113E-009,   4.6549E-013,   8.3717E-012,   6.3314E-013,  
289.547,   4.6977E-008,   2.4969E-006,   4.6701E-012,   4.0800E-011,   2.0774E-011,   3.2602E-009,   1.3659E-009,   4.0040E-013,   7.3141E-012,   7.4818E-013,  
