Aug 18, 2026  11:00:07 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Aug 18, 2026  11:00:07 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

551.718,   9.1861E-008,   3.2058E-006,   4.4118E-011,   1.7235E-011,   1.9445E-011,   3.5872E-009,   2.7245E-009,   2.3453E-013,   5.3434E-012,   3.7632E-013,  
557.718,   9.2189E-008,   3.2090E-006,   4.4219E-011,   1.4683E-011,   1.9154E-011,   3.6495E-009,   3.0045E-009,   3.2192E-013,   5.3380E-012,   2.2561E-013,  
563.718,   9.4589E-008,   3.2354E-006,   4.4348E-011,   1.6912E-011,   1.9480E-011,   3.2611E-009,   2.6305E-009,   2.5593E-013,   5.6055E-012,   3.8345E-014,  
569.734,   9.0390E-008,   3.2184E-006,   4.4361E-011,   1.6841E-011,   1.9686E-011,   3.5465E-009,   2.8365E-009,   7.0448E-014,   5.2319E-012,   1.1771E-013,  
575.734,   9.2024E-008,   3.2012E-006,   4.3028E-011,   1.7793E-011,   1.9273E-011,   3.3631E-009,   2.7145E-009,   3.1211E-014,   5.8008E-012,  -6.5989E-014,  
581.734,   9.1478E-008,   3.2184E-006,   4.4559E-011,   1.7678E-011,   1.9564E-011,   3.3062E-009,   3.0045E-009,   2.7644E-013,   5.3737E-012,   2.2026E-013,  
587.734,   9.3443E-008,   3.2175E-006,   4.4175E-011,   1.6690E-011,   1.7639E-011,   3.3207E-009,   2.8780E-009,   1.8192E-013,   5.1392E-012,   2.6574E-013,  
593.718,   9.0683E-008,   3.2141E-006,   4.2399E-011,   1.8334E-011,   1.9592E-011,   3.4137E-009,   2.7091E-009,   2.3453E-013,   5.5494E-012,   1.1325E-013,  
599.734,   9.7410E-008,   3.2267E-006,   4.3978E-011,   1.7983E-011,   1.9238E-011,   3.4453E-009,   3.0045E-009,   1.9975E-013,   5.2132E-012,   2.2383E-013,  
605.734,   9.3719E-008,   3.3272E-006,   4.2500E-011,   2.1492E-011,   2.1376E-011,   3.5736E-009,   3.0045E-009,   3.7989E-013,   4.6995E-012,   3.2460E-013,  
611.734,   9.4476E-008,   3.3192E-006,   4.0701E-011,   1.8351E-011,   1.9446E-011,   3.1780E-009,   2.6414E-009,   9.5417E-014,   5.1472E-012,   4.1645E-013,  
617.718,   8.8379E-008,   3.1035E-006,   4.3566E-011,   1.8721E-011,   1.9358E-011,   3.3812E-009,   2.6703E-009,   6.6346E-013,   5.0054E-012,   3.5135E-013,  
623.734,   7.5826E-008,   2.8268E-006,   4.1687E-011,   1.6354E-011,   1.8385E-011,   3.5447E-009,   2.7489E-009,   3.7453E-013,   9.1948E-012,   3.6027E-013,  
629.718,   7.0511E-008,   2.6922E-006,   4.0359E-011,   1.6381E-011,   1.8227E-011,   3.3089E-009,   2.7209E-009,   2.6039E-013,   7.6815E-012,  -1.0523E-013,  
635.718,   7.4210E-008,   2.6480E-006,   4.1953E-011,   1.5893E-011,   1.7907E-011,   3.5411E-009,   2.5510E-009,  -9.5417E-014,   4.3187E-012,   4.2180E-013,  
641.718,   7.1414E-008,   2.6646E-006,   1.5897E-011,   1.6011E-011,   1.8059E-011,   3.4634E-009,   2.7245E-009,   3.1390E-013,   6.5918E-012,   4.8154E-013,  
647.718,   7.2634E-008,   2.6505E-006,   4.1012E-011,   1.6493E-011,   1.8022E-011,   3.3207E-009,   2.5510E-009,   4.6282E-013,   5.6689E-012,   3.4154E-013,  
653.718,   7.3003E-008,   2.6594E-006,   4.0534E-011,   1.7012E-011,   1.8092E-011,   3.3234E-009,   2.6721E-009,   3.9683E-013,   8.2808E-012,   2.8536E-013,  
659.734,   7.3097E-008,   2.6268E-006,   1.8956E-011,   1.6068E-011,   1.8517E-011,   3.1472E-009,   2.4607E-009,   3.7008E-013,   4.8912E-012,   3.6294E-013,  
665.734,   6.9321E-008,   2.5946E-006,   4.2837E-011,   1.7093E-011,   1.8259E-011,   3.2855E-009,   2.3604E-009,   3.8345E-014,   4.8529E-012,   5.3505E-015,  
671.718,   6.3095E-008,   2.5798E-006,   4.0919E-011,   1.6811E-011,   1.8597E-011,   3.3957E-009,   2.5781E-009,   2.1580E-013,   5.1757E-012,   5.7607E-013,  
677.718,   6.4729E-008,   2.4961E-006,   4.1869E-011,   1.5351E-011,   1.7806E-011,   3.3758E-009,   2.5330E-009,   3.8345E-013,   7.7083E-012,   1.4714E-013,  
683.718,   5.9142E-008,   2.3178E-006,   4.1534E-011,   1.6810E-011,   1.7664E-011,   3.3279E-009,   3.8892E-007,   2.9428E-013,   4.9278E-012,   3.6205E-013,  
689.718,   5.9731E-008,   1.9553E-006,   4.6664E-011,   4.3866E-011,   6.8555E-011,   3.4544E-009,   2.3929E-006,   9.5061E-013,   1.3182E-011,   6.5383E-012,  
695.718,   6.9800E-008,   1.9752E-006,   4.8327E-011,   7.5114E-011,   1.0519E-010,   3.7308E-009,   2.8613E-006,   1.1584E-012,   2.0077E-011,   8.4306E-012,  
701.718,   7.2067E-008,   2.0703E-006,   4.9682E-011,   8.3745E-011,   1.1162E-010,   3.5556E-009,   2.9484E-006,   3.4315E-012,   2.1870E-011,   6.6854E-012,  
707.718,   7.5851E-008,   2.1608E-006,   4.6992E-011,   8.6477E-011,   1.1041E-010,   3.6107E-009,   2.8615E-006,   3.1131E-012,   1.8876E-011,   7.5558E-012,  
713.734,   7.6536E-008,   2.2282E-006,   1.8786E-011,   8.1856E-011,   1.0682E-010,   3.4743E-009,   2.7297E-006,   2.2552E-012,   2.2237E-011,   8.0204E-012,  
719.718,   7.7068E-008,   2.3271E-006,   4.7060E-011,   8.2326E-011,   1.0623E-010,   3.3631E-009,   2.5324E-006,   2.9196E-012,   2.2097E-011,   7.2883E-012,  
725.718,   8.6360E-008,   2.4221E-006,   4.8858E-011,   7.9367E-011,   1.0293E-010,   3.3911E-009,   2.3391E-006,   3.2558E-012,   2.0276E-011,   8.5225E-012,  
731.734,   8.3012E-008,   2.5220E-006,   1.9834E-011,   7.3210E-011,   1.0127E-010,   3.4029E-009,   2.1335E-006,   1.7781E-012,   1.9422E-011,   6.5446E-012,  
737.718,   8.1885E-008,   2.6054E-006,   4.6161E-011,   7.1056E-011,   9.6347E-011,   3.7579E-009,   1.9151E-006,   8.9353E-013,   1.8570E-011,   7.8296E-012,  
743.734,   8.6154E-008,   2.6914E-006,   4.7959E-011,   6.4556E-011,   9.6302E-011,   3.4110E-009,   1.7044E-006,   2.9249E-013,   1.7431E-011,   6.3065E-012,  
749.734,   8.6917E-008,   2.7811E-006,   4.6942E-011,   5.9119E-011,   9.0848E-011,   3.4354E-009,   1.4737E-006,   4.1466E-013,   1.5842E-011,   7.7226E-012,  
755.718,   9.1134E-008,   2.8812E-006,   4.5382E-011,   5.3435E-011,   8.5851E-011,   3.4481E-009,   1.2416E-006,   5.6537E-013,   1.4734E-011,   7.8153E-012,  
761.734,   9.0468E-008,   2.9772E-006,   4.7065E-011,   4.8024E-011,   7.7741E-011,   3.6089E-009,   1.0310E-006,  -9.2920E-013,   1.3628E-011,   7.2669E-012,  
