Aug 20, 2026  11:15:01 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Aug 20, 2026  11:15:01 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          CO2                   1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

515.766,   7.1475E-008,   2.8571E-006,   1.4152E-011,   1.6602E-011,   1.8940E-011,   3.0867E-009,   1.8564E-009,   4.6817E-013,   6.5035E-012,   2.5593E-013,  
521.766,   6.9790E-008,   2.8531E-006,   1.8133E-011,   1.5826E-011,   1.8444E-011,   3.1861E-009,   1.8293E-009,   2.6307E-013,   5.5235E-012,   6.7505E-013,  
527.766,   6.9164E-008,   2.8654E-006,   3.6397E-011,   1.6167E-011,   2.0162E-011,   3.3957E-009,   1.7525E-009,   3.7721E-013,   4.6246E-012,   7.7671E-013,  
533.766,   6.7042E-008,   2.8462E-006,   3.6936E-011,   1.6612E-011,   1.8449E-011,   3.4661E-009,   1.7895E-009,   3.4689E-013,   7.0297E-012,   1.0790E-013,  
539.766,   6.9931E-008,   2.8712E-006,   3.4255E-011,   1.6456E-011,   1.9149E-011,   3.1843E-009,   1.8735E-009,   5.3416E-013,   6.6203E-012,   6.4563E-013,  
545.766,   7.2314E-008,   2.8472E-006,   3.5003E-011,   1.5740E-011,   2.0261E-011,   3.1265E-009,   1.8699E-009,   4.3874E-013,   7.6485E-012,   7.1607E-013,  
551.766,   7.0298E-008,   2.8547E-006,   3.5074E-011,   1.7182E-011,   1.9651E-011,   3.0804E-009,   1.9205E-009,   5.6091E-013,   9.2394E-012,   4.3250E-013,  
557.766,   6.8758E-008,   2.8488E-006,   3.3096E-011,   1.6153E-011,   1.9191E-011,   3.4706E-009,   1.8672E-009,   3.2192E-013,   8.1114E-012,   6.5900E-013,  
563.766,   6.9077E-008,   2.8540E-006,   3.6031E-011,   1.6751E-011,   1.9439E-011,   3.1608E-009,   1.9304E-009,   5.1811E-013,   6.9441E-012,   6.9467E-013,  
569.766,   7.1262E-008,   2.8447E-006,   3.4531E-011,   1.5935E-011,   1.9035E-011,   3.1265E-009,   2.1147E-009,   4.3161E-013,   7.1055E-012,   3.5313E-013,  
575.766,   6.9413E-008,   2.8484E-006,   1.2221E-011,   1.6628E-011,   1.8974E-011,   3.3857E-009,   1.7859E-009,   4.0396E-013,   8.3575E-012,   4.9046E-013,  
581.766,   7.0653E-008,   2.8460E-006,   3.6582E-011,   1.6103E-011,   1.9656E-011,   3.1716E-009,   1.8130E-009,   2.7020E-013,   5.7018E-012,   1.0077E-013,  
